wavelength_nm,diameter_mm,myopia_d,threshold_stroke_arcmin,threshold_log_mar,threshold_detected,threshold_status,optical_d50_arcmin,optical_mar_arcmin,optical_log_mar
550.0,1.218475796513094,1.0,1.7370464894387954,0.2398114418417758,True,resolved,1.9968111438656944,0.4992027859664236,-0.3017229995947263
550.0,1.3467753774655815,1.0,1.9353235348172027,0.28675357795463924,True,resolved,2.401051096379871,0.6002627740949678,-0.2216585890219966
550.0,1.4885842809008711,1.0,2.208146808944156,0.3440279441453877,True,resolved,2.8779261596386156,0.7194815399096539,-0.1429803444907136
550.0,1.645324972836306,1.0,2.576912342534552,0.4110996456362662,True,resolved,3.114199613062976,0.778549903265744,-0.10871354492201234
550.0,1.8185696980492723,1.0,2.9799349994673126,0.47420679102909263,True,resolved,3.375311920500693,0.8438279801251732,-0.07374607813344757
550.0,2.0100562510528768,1.0,3.4105582118520688,0.5328254665252473,True,resolved,3.9970202283875307,0.9992550570968827,-0.00032364515571032794
550.0,2.2217054076787313,1.0,3.8519703156247154,0.5856829316689927,True,resolved,4.410834098505893,1.1027085246264732,0.04246073195522904
550.0,2.455640192120709,1.0,4.300047439805307,0.6334732469126139,True,resolved,5.057925297865292,1.264481324466323,0.1019124194921145
550.0,2.714207172704789,1.0,4.801628314345469,0.6813885390454016,True,resolved,5.771018095746008,1.442754523936502,0.1591924447672739
550.0,3.0000000000000004,1.0,5.3878806723730435,0.7314179686575185,True,resolved,6.5293160061548505,1.6323290015387126,0.2128076967906957
550.0,0.3,1.5,4.977631526094896,0.6970227444006156,True,resolved,5.604758169604511,1.4011895424011278,0.14649688735645108
550.0,0.3315885423378064,1.5,4.5127789313031395,0.6544440591424067,True,resolved,5.078451955520133,1.2696129888800332,0.1036713568549117
550.0,0.3665032046990376,1.5,4.101714566904377,0.6129654350836734,True,resolved,4.604977574599257,1.1512443936498142,0.061167528275152615
550.0,0.4050942113609619,1.5,3.7127738754717656,0.5696984995559933,True,resolved,4.180267594324848,1.045066898581212,0.019144092126241203
550.0,0.4477486635155488,1.5,3.354447326580797,0.5256209767291318,True,resolved,3.80100382321725,0.9502509558043125,-0.022161684892098875
550.0,0.4492873987401234,1.5,3.343535134230556,0.5242058911735104,True,resolved,3.7887797144177937,0.9471949286044484,-0.02356063587981228
550.0,0.47293410393697205,1.5,3.187024880495601,0.5033854539411843,True,resolved,3.611967850057412,0.902991962514353,-0.044316115302440846
550.0,0.4948944222294061,1.5,3.057047555291761,0.48530219464370666,True,resolved,3.464694798840917,0.8661736997102293,-0.062395007219114174
550.0,0.4965808091338207,1.5,3.0474879546695006,0.4839419977257249,True,resolved,3.454000551465488,0.863500137866372,-0.06373758875709007
550.0,0.5470044002605323,1.5,2.7862887623397956,0.4450261233557435,True,resolved,3.169826453948521,0.7924566134871303,-0.10102450581548184
550.0,0.5502624373878341,1.5,2.770628908805592,0.4425783613468618,True,resolved,3.1536241137086383,0.7884060284271596,-0.10325006361298959
550.0,0.5792236183029833,1.5,2.6399474000630048,0.4215952738054517,True,resolved,3.0197073816856563,0.7549268454214141,-0.12209513071397562
550.0,0.6046013057825199,1.5,2.5347364579693803,0.40393281148020266,True,resolved,2.9161294615817956,0.7290323653954489,-0.1372531907483726
550.0,0.6081847992181325,1.5,2.5205802723912067,0.40150053287967435,True,resolved,2.9024612779605747,0.7256153194901437,-0.1392935568468004
550.0,0.6353883327016112,1.5,2.4282084323148276,0.3852859629299919,True,resolved,2.8059097370152952,0.7014774342538238,-0.15398629517970264
550.0,0.6682628855998672,1.5,2.334557112577767,0.368204502971888,True,resolved,2.705063628586152,0.676265907146538,-0.16988250627766396
550.0,0.6688298238964329,1.5,2.3330799354879543,0.3679296187537234,True,resolved,2.7034670732853607,0.6758667683213402,-0.1701389068476328
550.0,0.7022713150912545,1.5,2.251541160265827,0.352479890678445,True,resolved,2.6173423634771744,0.6543355908692936,-0.18419945674922486
550.0,0.7386277204483878,1.5,2.175953825330648,0.3376496752095648,True,resolved,2.540722395349785,0.6351805988374463,-0.19710277561011436
550.0,0.7781886018183509,1.5,2.108845752029537,0.3240448151627877,True,resolved,2.473770048042451,0.6184425120106127,-0.20870066446967808
550.0,0.8164016305125923,1.5,2.060173164725663,0.31390372586630283,True,resolved,2.425240398211092,0.606310099552773,-0.21730519748578628
550.0,0.8191458966508958,1.5,2.0572875420432455,0.3132949962136104,True,resolved,2.4223815298932108,0.6055953824733027,-0.21781744489175164
550.0,0.8601031914834406,1.5,2.0254368841497663,0.3065187144203447,True,resolved,2.3895388730342013,0.5973847182585503,-0.22374589130817552
550.0,0.9023647554129298,1.5,2.0163607376788923,0.30456823232125374,True,resolved,2.3749422061075296,0.5937355515268824,-0.22640694573506961
550.0,0.9973793796812823,1.5,2.0987697687821916,0.32196479988229837,True,resolved,2.454792574940988,0.613698143735247,-0.2120451903330771
550.0,1.1005248747756682,1.5,2.356585599893933,0.37228321956198246,True,resolved,2.9455675970122415,0.7363918992530604,-0.13289099763820997
550.0,1.102398582221007,1.5,2.362719584882166,0.37341218123253234,True,resolved,2.9558913523820016,0.7389728380955004,-0.13137152436841243
550.0,1.1584472366059666,1.5,2.5468365147220253,0.40600106784038353,True,resolved,3.2708962333525635,0.8177240583381409,-0.08739322464022023
550.0,1.216369598436265,1.5,2.715556494173563,0.4338588422428512,True,resolved,3.5272656972622576,0.8818164243155644,-0.05462181646094331
550.0,1.218475796513094,1.5,2.7219596694601633,0.4348816860911724,True,resolved,3.532870657347252,0.883217664336813,-0.05393225364647879
550.0,1.3467753774655815,1.5,3.1560135622977357,0.4991388608296555,True,resolved,3.8214254121688422,0.9553563530422106,-0.019834604025997803
