pitch_mm,acceptance_radius_mm,axis_visible_hole_count,axis_single_hole_limit_mm,all_gaze_single_hole_limit_mm,square_gap_free_limit_mm,triangular_gap_free_limit_mm,zero_coverage_fraction,single_hole_coverage_fraction,multi_hole_coverage_fraction,coverage_class
6.970833333333333,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.37814349952308135,0.6218565004769186,0.0,single_hole_overlap_free_but_gap
7.025,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.3880149585913488,0.6119850414086512,0.0,single_hole_overlap_free_but_gap
7.079166666666667,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.3973413677724114,0.6026586322275886,0.0,single_hole_overlap_free_but_gap
7.133333333333334,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.40666777695347395,0.5933322230465261,0.0,single_hole_overlap_free_but_gap
7.1875,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.4160547472331148,0.5839452527668851,0.0,single_hole_overlap_free_but_gap
7.241666666666667,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.4248361065269724,0.5751638934730277,0.0,single_hole_overlap_free_but_gap
7.295833333333333,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.4326484882435767,0.5673515117564233,0.0,single_hole_overlap_free_but_gap
7.3500000000000005,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.441005919847386,0.558994080152614,0.0,single_hole_overlap_free_but_gap
7.404166666666667,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.44918166815546035,0.5508183318445397,0.0,single_hole_overlap_free_but_gap
7.458333333333334,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.4576602219564263,0.5423397780435737,0.0,single_hole_overlap_free_but_gap
7.5125,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.464988114884404,0.5350118851155959,0.0,single_hole_overlap_free_but_gap
7.566666666666666,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.47280049660100837,0.5271995033989917,0.0,single_hole_overlap_free_but_gap
7.620833333333334,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.48055231721903435,0.5194476827809656,0.0,single_hole_overlap_free_but_gap
7.675,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.4877590879498554,0.5122409120501445,0.0,single_hole_overlap_free_but_gap
7.729166666666667,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.49508698087783315,0.5049130191221669,0.0,single_hole_overlap_free_but_gap
7.783333333333333,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.5016881406228709,0.4983118593771291,0.0,single_hole_overlap_free_but_gap
7.8375,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.5082287392693303,0.4917712607306697,0.0,single_hole_overlap_free_but_gap
7.891666666666667,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.5157988765916214,0.4842011234083786,0.0,single_hole_overlap_free_but_gap
7.945833333333334,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.5215521809565625,0.4784478190434375,0.0,single_hole_overlap_free_but_gap
8.0,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.5285167072930703,0.4714832927069297,0.0,single_hole_overlap_free_but_gap
