comparison_group,pattern_kind,diameter_mm,pitch_mm,pitch_to_diameter_ratio,myopia_d,separation_to_width_ratio,max_ghost_peak_ratio,valley_visibility,ghost_count
diameter_pitch_grid,triangular_packing,1.4885842809008711,3.025941021335156,2.0327643252445857,0.5,0.23398706518948176,0.0,nan,0
diameter_pitch_grid,hexagonal_packing,1.4885842809008711,3.025941021335156,2.0327643252445857,0.5,0.23398706518948195,0.0,nan,0
diameter_pitch_grid,square_packing,1.4885842809008711,3.6754148401516487,2.4690673462757093,0.5,0.28420895375597577,0.0,nan,0
diameter_pitch_grid,triangular_packing,1.4885842809008711,3.6754148401516487,2.4690673462757093,0.5,0.2842089537559756,0.0,nan,0
diameter_pitch_grid,hexagonal_packing,1.4885842809008711,3.6754148401516487,2.4690673462757093,0.5,0.28420895375597566,0.0,nan,0
diameter_pitch_grid,square_packing,1.4885842809008711,4.464288679772894,2.9990164057564592,0.5,0.34521023343600304,0.0,nan,0
diameter_pitch_grid,triangular_packing,1.4885842809008711,4.464288679772894,2.9990164057564592,0.5,0.34521023343600293,0.0,nan,0
diameter_pitch_grid,hexagonal_packing,1.4885842809008711,4.464288679772894,2.9990164057564592,0.5,0.34521023343600293,0.0,nan,0
diameter_pitch_grid,square_packing,1.4885842809008711,5.422482708244738,3.64271125109767,0.5,0.41930454228848896,0.0,nan,0
diameter_pitch_grid,triangular_packing,1.4885842809008711,5.422482708244738,3.64271125109767,0.5,0.41930454228848896,0.0,nan,0
diameter_pitch_grid,hexagonal_packing,1.4885842809008711,5.422482708244738,3.64271125109767,0.5,0.41930454228848896,0.0,nan,0
diameter_pitch_grid,square_packing,1.6374427089909585,1.8374427089909584,1.1221416779358626,0.5,0.142218955940412,0.0,nan,0
diameter_pitch_grid,square_packing,1.6374427089909585,2.2083775793676796,1.3486747152995346,0.5,0.17092949463026297,0.0,nan,0
diameter_pitch_grid,square_packing,1.6374427089909585,2.654195153508783,1.6209392480939857,0.5,0.20543599087310552,0.0,nan,0
diameter_pitch_grid,triangular_packing,1.6374427089909585,2.654195153508783,1.6209392480939857,0.5,0.2054359908731055,0.0,nan,0
diameter_pitch_grid,hexagonal_packing,1.6374427089909585,2.654195153508783,1.6209392480939857,0.5,0.20543599087310543,0.0,nan,0
diameter_pitch_grid,square_packing,1.6374427089909585,3.1900124230235223,1.9481673499216985,0.5,0.24690850714387194,0.0,nan,0
diameter_pitch_grid,triangular_packing,1.6374427089909585,3.1900124230235223,1.9481673499216985,0.5,0.24690850714387186,0.0,nan,0
diameter_pitch_grid,hexagonal_packing,1.6374427089909585,3.1900124230235223,1.9481673499216985,0.5,0.24690850714387194,0.0,nan,0
diameter_pitch_grid,square_packing,1.6374427089909585,3.833998131445511,2.341454824888583,0.5,0.29675331299505264,0.0,nan,0
diameter_pitch_grid,triangular_packing,1.6374427089909585,3.833998131445511,2.341454824888583,0.5,0.2967533129950526,0.0,nan,0
diameter_pitch_grid,hexagonal_packing,1.6374427089909585,3.833998131445511,2.341454824888583,0.5,0.2967533129950526,0.0,nan,0
diameter_pitch_grid,square_packing,1.6374427089909585,4.607988848518435,2.8141374493389244,0.5,0.3566605695049065,0.0,nan,0
diameter_pitch_grid,triangular_packing,1.6374427089909585,4.607988848518435,2.8141374493389244,0.5,0.3566605695049065,0.0,nan,0
diameter_pitch_grid,hexagonal_packing,1.6374427089909585,4.607988848518435,2.8141374493389244,0.5,0.3566605695049065,0.0,nan,0
diameter_pitch_grid,square_packing,1.6374427089909585,5.538229414854903,3.382243167620641,0.5,0.42866164005281066,0.0,nan,0
diameter_pitch_grid,triangular_packing,1.6374427089909585,5.538229414854903,3.382243167620641,0.5,0.42866164005281066,0.0,nan,0
diameter_pitch_grid,hexagonal_packing,1.6374427089909585,5.538229414854903,3.382243167620641,0.5,0.42866164005281054,0.0,nan,0
diameter_pitch_grid,square_packing,1.7863011370810453,1.9863011370810453,1.1119632047745407,0.5,0.153865733120685,0.0,nan,0
diameter_pitch_grid,square_packing,1.7863011370810453,2.364153675005803,1.3234911101657887,0.5,0.18313549321594502,0.0,nan,0
diameter_pitch_grid,square_packing,1.7863011370810453,2.8138848106672527,1.5752578063435367,0.5,0.21797321726690994,0.0,nan,0
