comparison_group,pattern_kind,diameter_mm,pitch_mm,pupil_diameter_mm,myopia_d,wavelength_nm,ring_count,ghost_index,ghost_x_arcmin,ghost_y_arcmin,ghost_radius_arcmin,ghost_azimuth_deg,multiplicity,total_weight,measured_peak,peak_ratio,above_visibility_threshold
pupil_study_A,square_packing,1.2,2.0,4.0,3.0,550.0,0,10,-550.0394833255904,0.0,550.0394833255904,180.0,1,0.0,0.0,0.0,False
pupil_study_A,square_packing,1.2,2.0,4.0,3.0,550.0,0,11,550.0394833255904,0.0,550.0394833255904,0.0,1,0.0,0.0,0.0,False
pupil_study_A,square_packing,1.2,2.0,4.0,3.0,550.0,0,12,0.0,550.0394833255904,550.0394833255904,90.0,1,0.0,0.0,0.0,False
pupil_study_A,square_packing,1.2,2.0,4.0,3.0,550.0,0,13,-275.0197416627952,-550.0394833255904,614.9628375124411,243.43494882292202,1,0.0,0.0,0.0,False
pupil_study_A,square_packing,1.2,2.0,4.0,3.0,550.0,0,14,275.0197416627952,-550.0394833255904,614.9628375124411,296.565051177078,1,0.0,0.0,0.0,False
pupil_study_A,square_packing,1.2,2.0,4.0,3.0,550.0,0,15,-550.0394833255904,-275.0197416627952,614.9628375124411,206.565051177078,1,0.0,0.0,0.0,False
pupil_study_A,square_packing,1.2,2.0,4.0,3.0,550.0,0,16,550.0394833255904,-275.0197416627952,614.9628375124411,333.434948822922,1,0.0,0.0,0.0,False
pupil_study_A,square_packing,1.2,2.0,4.0,3.0,550.0,0,17,-550.0394833255904,275.0197416627952,614.9628375124411,153.434948822922,1,0.0,0.0,0.0,False
pupil_study_A,square_packing,1.2,2.0,4.0,3.0,550.0,0,18,550.0394833255904,275.0197416627952,614.9628375124411,26.56505117707799,1,0.0,0.0,0.0,False
pupil_study_A,square_packing,1.2,2.0,4.0,3.0,550.0,0,19,-275.0197416627952,550.0394833255904,614.9628375124411,116.56505117707799,1,0.0,0.0,0.0,False
pupil_study_A,square_packing,1.2,2.0,4.0,3.0,550.0,0,20,275.0197416627952,550.0394833255904,614.9628375124411,63.43494882292201,1,0.0,0.0,0.0,False
pupil_study_A,square_packing,1.2,2.0,4.0,3.0,550.0,0,21,-550.0394833255904,-550.0394833255904,777.8732971597398,225.0,1,0.0,0.0,0.0,False
pupil_study_A,square_packing,1.2,2.0,4.0,3.0,550.0,0,22,550.0394833255904,-550.0394833255904,777.8732971597398,315.0,1,0.0,0.0,0.0,False
pupil_study_A,square_packing,1.2,2.0,4.0,3.0,550.0,0,23,-550.0394833255904,550.0394833255904,777.8732971597398,135.0,1,0.0,0.0,0.0,False
pupil_study_A,square_packing,1.2,2.0,4.0,3.0,550.0,0,24,550.0394833255904,550.0394833255904,777.8732971597398,45.0,1,0.0,0.0,0.0,False
pupil_study_A,square_packing,1.2,2.0,8.0,3.0,550.0,0,1,0.0,-275.0197416627952,275.0197416627952,270.0,1,1.0,0.006980803826281186,0.9997528532285077,True
pupil_study_A,square_packing,1.2,2.0,8.0,3.0,550.0,0,2,-275.0197416627952,0.0,275.0197416627952,180.0,1,1.0,0.006980803873301336,0.9997528599624785,True
pupil_study_A,square_packing,1.2,2.0,8.0,3.0,550.0,0,3,275.0197416627952,0.0,275.0197416627952,0.0,1,1.0,0.006980803481021912,0.9997528037823475,True
pupil_study_A,square_packing,1.2,2.0,8.0,3.0,550.0,0,4,0.0,275.0197416627952,275.0197416627952,90.0,1,1.0,0.006980803564758774,0.9997528157746867,True
pupil_study_A,square_packing,1.2,2.0,8.0,3.0,550.0,0,5,-275.0197416627952,-275.0197416627952,388.9366485798699,225.0,1,1.0,0.006979366905028937,0.9995470651620401,True
pupil_study_A,square_packing,1.2,2.0,8.0,3.0,550.0,0,6,275.0197416627952,-275.0197416627952,388.9366485798699,315.0,1,1.0,0.006979366759973807,0.9995470443880312,True
pupil_study_A,square_packing,1.2,2.0,8.0,3.0,550.0,0,7,-275.0197416627952,275.0197416627952,388.9366485798699,135.0,1,1.0,0.006979366808331396,0.9995470513135428,True
pupil_study_A,square_packing,1.2,2.0,8.0,3.0,550.0,0,8,275.0197416627952,275.0197416627952,388.9366485798699,45.0,1,1.0,0.0069793668709359526,0.9995470602794277,True
pupil_study_A,square_packing,1.2,2.0,8.0,3.0,550.0,0,9,0.0,-550.0394833255904,550.0394833255904,270.0,1,0.4840755369965986,0.0033790889728566196,0.4839347911780607,True
pupil_study_A,square_packing,1.2,2.0,8.0,3.0,550.0,0,10,-550.0394833255904,0.0,550.0394833255904,180.0,1,0.4840755369965986,0.003379088910125135,0.4839347821939978,True
pupil_study_A,square_packing,1.2,2.0,8.0,3.0,550.0,0,11,550.0394833255904,0.0,550.0394833255904,0.0,1,0.4840755369965986,0.0033790888931557045,0.48393477976372806,True
pupil_study_A,square_packing,1.2,2.0,8.0,3.0,550.0,0,12,0.0,550.0394833255904,550.0394833255904,90.0,1,0.4840755369965986,0.0033790890632408974,0.48393480412240664,True
pupil_study_A,square_packing,1.2,2.0,8.0,3.0,550.0,0,13,-275.0197416627952,-550.0394833255904,614.9628375124411,243.43494882292202,1,0.05368322382323607,0.00037466327912373575,0.05365724229260356,True
pupil_study_A,square_packing,1.2,2.0,8.0,3.0,550.0,0,14,275.0197416627952,-550.0394833255904,614.9628375124411,296.565051177078,1,0.05368322382323607,0.0003746632938666269,0.05365724440400045,True
pupil_study_A,square_packing,1.2,2.0,8.0,3.0,550.0,0,15,-550.0394833255904,-275.0197416627952,614.9628375124411,206.565051177078,1,0.05368322382323607,0.0003746632760727025,0.05365724185565113,True
pupil_study_A,square_packing,1.2,2.0,8.0,3.0,550.0,0,16,550.0394833255904,-275.0197416627952,614.9628375124411,333.434948822922,1,0.05368322382323607,0.00037466328198545513,0.053657242702443486,True
pupil_study_A,square_packing,1.2,2.0,8.0,3.0,550.0,0,17,-550.0394833255904,275.0197416627952,614.9628375124411,153.434948822922,1,0.05368322382323607,0.00037466328578457993,0.05365724324653353,True
pupil_study_A,square_packing,1.2,2.0,8.0,3.0,550.0,0,18,550.0394833255904,275.0197416627952,614.9628375124411,26.56505117707799,1,0.05368322382323607,0.0003746632900695456,0.05365724386020307,True
pupil_study_A,square_packing,1.2,2.0,8.0,3.0,550.0,0,19,-275.0197416627952,550.0394833255904,614.9628375124411,116.56505117707799,1,0.05368322382323607,0.0003746632815512162,0.05365724264025414,True
pupil_study_A,square_packing,1.2,2.0,8.0,3.0,550.0,0,20,275.0197416627952,550.0394833255904,614.9628375124411,63.43494882292201,1,0.05368322382323607,0.00037466328092978997,0.05365724255125685,True
pupil_study_A,square_packing,1.2,2.0,8.0,3.0,550.0,0,21,-550.0394833255904,-550.0394833255904,777.8732971597398,225.0,1,0.0,0.0,0.0,False
pupil_study_A,square_packing,1.2,2.0,8.0,3.0,550.0,0,22,550.0394833255904,-550.0394833255904,777.8732971597398,315.0,1,0.0,0.0,0.0,False
pupil_study_A,square_packing,1.2,2.0,8.0,3.0,550.0,0,23,-550.0394833255904,550.0394833255904,777.8732971597398,135.0,1,0.0,0.0,0.0,False
pupil_study_A,square_packing,1.2,2.0,8.0,3.0,550.0,0,24,550.0394833255904,550.0394833255904,777.8732971597398,45.0,1,0.0,0.0,0.0,False
pupil_study_B,square_packing,1.0,2.5,2.0,3.0,550.0,0,1,0.0,-343.774677078494,343.774677078494,270.0,1,0.0,0.0,0.0,False
pupil_study_B,square_packing,1.0,2.5,2.0,3.0,550.0,0,2,-343.774677078494,0.0,343.774677078494,180.0,1,0.0,0.0,0.0,False
pupil_study_B,square_packing,1.0,2.5,2.0,3.0,550.0,0,3,343.774677078494,0.0,343.774677078494,0.0,1,0.0,0.0,0.0,False
pupil_study_B,square_packing,1.0,2.5,2.0,3.0,550.0,0,4,0.0,343.774677078494,343.774677078494,90.0,1,0.0,0.0,0.0,False
pupil_study_B,square_packing,1.0,2.5,2.0,3.0,550.0,0,5,-343.774677078494,-343.774677078494,486.1708107248374,225.0,1,0.0,0.0,0.0,False
